feature,rank_perm,rank_shap,consenso_score,iteration
0_Absolute energy,10.75,7.25,18.0,1
0_Autocorrelation,10.5,9.5,20.0,1
0_ECDF Percentile_0,15.25,12.0,27.25,1
0_ECDF Percentile_1,19.75,25.75,45.5,1
0_Entropy,16.25,17.75,34.0,1
0_Fundamental frequency,27.25,15.5,42.75,1
0_Histogram mode,23.0,20.25,43.25,1
0_Interquartile range,11.5,12.0,23.5,1
0_LPCC_0,12.5,14.25,26.75,1
0_LPCC_1,28.75,29.5,58.25,1
0_LPCC_5,34.5,34.75,69.25,1
0_LPCC_6,29.5,32.0,61.5,1
0_MFCC_0,17.0,20.75,37.75,1
0_MFCC_10,26.5,20.75,47.25,1
0_MFCC_11,11.0,10.75,21.75,1
0_MFCC_4,23.0,22.25,45.25,1
0_MFCC_5,15.5,17.25,32.75,1
0_MFCC_8,24.75,18.75,43.5,1
0_MFCC_9,16.75,17.0,33.75,1
0_Max,13.5,17.5,31.0,1
0_Maximum frequency,29.75,22.25,52.0,1
0_Mean,24.5,26.5,51.0,1
0_Mean diff,11.25,16.5,27.75,1
0_Median,16.5,20.5,37.0,1
0_Median absolute diff,40.0,38.25,78.25,1
0_Median diff,28.25,36.0,64.25,1
0_Median frequency,30.5,25.0,55.5,1
0_Negative turning points,39.25,33.25,72.5,1
0_Neighbourhood peaks,35.5,37.25,72.75,1
0_Peak to peak distance,1.0,4.25,5.25,1
0_Power bandwidth,29.75,30.0,59.75,1
0_Slope,10.75,19.75,30.5,1
0_Spectral decrease,15.75,16.75,32.5,1
0_Spectral entropy,6.75,9.75,16.5,1
0_Spectral positive turning points,32.25,30.25,62.5,1
0_Spectral roll-on,31.75,31.75,63.5,1
0_Spectral variation,7.0,10.0,17.0,1
0_Wavelet absolute mean_125000000.0Hz,20.5,21.5,42.0,1
0_Wavelet absolute mean_27777777.78Hz,13.75,21.25,35.0,1
0_Wavelet energy_125000000.0Hz,23.25,19.75,43.0,1
0_Wavelet entropy,31.5,25.0,56.5,1
0_Zero crossing rate,36.0,32.0,68.0,1
0_Absolute energy,13.0,8.5,21.5,2
0_Autocorrelation,10.75,10.0,20.75,2
0_ECDF Percentile_0,14.5,14.875,29.375,2
0_ECDF Percentile_1,20.5,24.25,44.75,2
0_Entropy,17.125,18.625,35.75,2
0_Fundamental frequency,28.125,17.625,45.75,2
0_Histogram mode,24.25,19.375,43.625,2
0_Interquartile range,11.25,10.625,21.875,2
0_LPCC_0,12.75,15.25,28.0,2
0_LPCC_1,29.625,30.375,60.0,2
0_LPCC_5,33.375,32.5,65.875,2
0_LPCC_6,29.125,30.625,59.75,2
0_MFCC_0,17.625,20.0,37.625,2
0_MFCC_10,24.125,20.375,44.5,2
0_MFCC_11,11.0,10.375,21.375,2
0_MFCC_4,21.625,23.625,45.25,2
0_MFCC_5,17.625,17.125,34.75,2
0_MFCC_8,22.875,19.375,42.25,2
