iter,status,R2_SVR,R2_RF,R2_Bayesian,R2_XGB
1,ok,0.9829,0.9441,0.9582,0.9524
2,ok,0.9817,0.9579,0.967,0.9834
3,ok,0.9813,0.867,0.9682,0.9284
4,ok,0.9811,0.94,0.9685,0.9428
5,ok,0.9835,0.9545,0.9559,0.9812
6,ok,0.987,0.9689,0.9732,0.9856
7,ok,0.9763,0.9183,0.9544,0.943
8,ok,0.9862,0.9391,0.9709,0.9564
9,ok,0.9845,0.9521,0.9631,0.9744
10,ok,0.987,0.9572,0.9735,0.9793
11,ok,0.9837,0.9013,0.9597,0.9694
12,ok,0.9857,0.9618,0.9486,0.9888
13,ok,0.9812,0.9385,0.9614,0.9723
14,ok,0.9841,0.9001,0.9659,0.9625
15,ok,0.9773,0.8693,0.9609,0.9211
16,ok,0.9787,0.8897,0.9409,0.9573
17,ok,0.9865,0.9015,0.9558,0.9721
18,ok,0.982,0.9323,0.9586,0.9429
19,ok,0.9854,0.8374,0.9684,0.9096
20,ok,0.9845,0.9524,0.971,0.9522
21,ok,0.9846,0.9535,0.9758,0.9632
22,ok,0.9807,0.9299,0.9677,0.9299
23,ok,0.9835,0.9635,0.9727,0.9825
24,ok,0.974,0.8669,0.9578,0.9237
25,ok,0.9854,0.9629,0.9566,0.9838
26,ok,0.9817,0.9179,0.9684,0.9603
27,ok,0.9804,0.8749,0.9693,0.9426
28,ok,0.9802,0.8889,0.9477,0.964
29,ok,0.9865,0.9622,0.968,0.9798
30,ok,0.9845,0.9601,0.9698,0.9882
31,ok,0.9818,0.9219,0.9665,0.9127
32,ok,0.9809,0.862,0.9695,0.9176
33,ok,0.9777,0.8807,0.9641,0.9543
34,ok,0.9864,0.9615,0.9695,0.9852
35,ok,0.9841,0.941,0.5891,0.9696
36,ok,0.9866,0.957,0.9704,0.9844
37,ok,0.9871,0.9731,0.9671,0.9888
38,ok,0.9819,0.9461,0.9517,0.9723
39,ok,0.9833,0.9489,0.9705,0.9802
40,ok,0.9801,0.9277,0.9685,0.924
41,ok,0.989,0.9455,0.9791,0.9554
42,ok,0.9775,0.9045,0.9611,0.9689
43,ok,0.9776,0.916,0.9644,0.8999
44,ok,0.9833,0.9262,0.9606,0.9561
45,ok,0.9787,0.8742,0.956,0.9494
46,ok,0.9823,0.9103,0.9317,0.9629
47,ok,0.9827,0.9606,0.9699,0.9773
48,ok,0.9806,0.947,0.9662,0.9453
49,ok,0.9846,0.913,0.9716,0.9643
50,ok,0.9897,0.9592,0.9724,0.9803
51,ok,0.9789,0.9337,0.9598,0.9425
52,ok,0.9839,0.9061,0.9596,0.9656
53,ok,0.9797,0.8731,0.9607,0.8999
54,ok,0.9729,0.8638,0.9674,0.92
55,ok,0.9818,0.906,0.9684,0.9676
56,ok,0.9874,0.9722,0.9721,0.988
57,ok,0.9774,0.9193,0.9683,0.9453
58,ok,0.985,0.9041,0.9656,0.9584
59,ok,0.9848,0.8913,0.9409,0.9578
60,ok,0.9849,0.8976,0.9388,0.9625
61,ok,0.9859,0.9545,0.9674,0.9814
62,ok,0.9795,0.9323,0.9617,0.9719
63,ok,0.9799,0.9104,0.9676,0.9647
64,ok,0.9675,0.8624,0.9366,0.9348
65,ok,0.9832,0.9535,0.9701,0.9779
66,ok,0.9859,0.961,0.9672,0.9785
67,ok,0.9801,0.9472,0.9431,0.9539
68,ok,0.9843,0.9647,0.9496,0.9844
69,ok,0.984,0.9608,0.9523,0.9855
70,ok,0.9853,0.9637,0.9672,0.9888
71,ok,0.987,0.9121,0.9698,0.9369
72,ok,0.9798,0.896,0.9466,0.9688
73,ok,0.978,0.8926,0.9552,0.9403
74,ok,0.9854,0.9434,0.9636,0.9736
75,ok,0.981,0.9418,0.9605,0.9727
76,ok,0.9843,0.9369,0.9644,0.9489
77,ok,0.9825,0.9562,0.9495,0.9764
78,ok,0.9813,0.8925,0.9651,0.9646
79,ok,0.9879,0.967,0.969,0.9846
80,ok,0.982,0.8912,0.9751,0.9688
81,ok,0.9844,0.9595,0.9581,0.9788
82,ok,0.9836,0.9576,0.9729,0.9771
83,ok,0.9738,0.8846,0.9664,0.9379
84,ok,0.9855,0.9501,0.9483,0.9807
85,ok,0.9857,0.9588,0.9498,0.9825
86,ok,0.9857,0.9687,0.9552,0.9847
87,ok,0.9845,0.9476,0.9643,0.952
88,ok,0.9855,0.9525,0.9751,0.9697
89,ok,0.982,0.9406,0.9552,0.9836
90,ok,0.98,0.9395,0.9705,0.9479
91,ok,0.9825,0.9555,0.957,0.9804
92,ok,0.9858,0.8992,0.9449,0.9479
93,ok,0.974,0.8779,0.952,0.9175
94,ok,0.9834,0.9628,0.9713,0.9776
95,ok,0.9829,0.9468,0.9506,0.9622
96,ok,0.9877,0.9141,0.9493,0.9467
97,ok,0.9838,0.9265,0.9636,0.9493
98,ok,0.9872,0.969,0.9505,0.9841
99,ok,0.9831,0.948,0.9693,0.9491
100,ok,0.9819,0.9593,0.9579,0.9757
