feature,rank_perm,importance_mean,model
0_Peak to peak distance,1,0.1180970644528105,SVR
0_Spectral variation,2,0.1163632783042502,SVR
0_Spectral entropy,3,0.1058836112217586,SVR
0_Spectral decrease,4,0.0806059615102345,SVR
0_Mean diff,5,0.0801120713769828,SVR
0_Interquartile range,6,0.068239290877338,SVR
0_ECDF Percentile_0,7,0.0682212470539596,SVR
0_LPCC_0,8,0.0639449082202356,SVR
0_Wavelet absolute mean_27777777.78Hz,9,0.0591043831633158,SVR
0_Median,10,0.0572967076057747,SVR
0_Absolute energy,11,0.0506267918207492,SVR
0_Slope,12,0.0434191131301307,SVR
0_Max,13,0.0415582997344258,SVR
0_Wavelet absolute mean_125000000.0Hz,14,0.0333754926662791,SVR
0_MFCC_11,15,0.0252144992558849,SVR
0_Autocorrelation,16,0.0128846033824297,SVR
0_Median diff,17,0.0125814706065871,SVR
0_MFCC_9,18,0.0122893101033605,SVR
0_MFCC_10,19,0.0091070738728028,SVR
0_Mean,20,0.0084755924876685,SVR
0_MFCC_5,21,0.0081677119686116,SVR
0_Wavelet energy_125000000.0Hz,22,0.0074959289216543,SVR
0_Wavelet entropy,23,0.0049215535092092,SVR
0_MFCC_0,24,0.0048110053206915,SVR
0_Maximum frequency,25,0.0039894282731262,SVR
0_ECDF Percentile_1,26,0.0038177829796721,SVR
0_MFCC_4,27,0.0037856821229576,SVR
0_MFCC_8,28,0.0029711461804114,SVR
0_Histogram mode,29,0.002638838566258,SVR
0_LPCC_1,30,0.0022751473754202,SVR
0_LPCC_5,31,0.0012070772558732,SVR
0_Spectral roll-on,32,0.001019796252357,SVR
0_Power bandwidth,33,0.0009663704662781,SVR
0_Entropy,34,0.0008657917446683,SVR
0_LPCC_6,35,0.0008349382159131,SVR
0_Median frequency,36,0.000663083922257,SVR
0_Zero crossing rate,37,0.0005645123329872,SVR
0_Fundamental frequency,38,0.0004364203354386,SVR
0_Neighbourhood peaks,39,0.0003169270281884,SVR
0_Spectral positive turning points,40,0.0002057116013881,SVR
0_Median absolute diff,41,0.0001034648716208,SVR
0_Negative turning points,42,-0.0002011121632171,SVR
0_Peak to peak distance,1,0.1749030560846326,Random Forest
0_Spectral entropy,2,0.0916407635552953,Random Forest
0_Absolute energy,3,0.0387779000840218,Random Forest
0_Spectral variation,4,0.0351442058390558,Random Forest
0_Autocorrelation,5,0.0305934252920959,Random Forest
0_Entropy,6,0.0271594458825389,Random Forest
0_Interquartile range,7,0.0252275339021184,Random Forest
0_Wavelet energy_125000000.0Hz,8,0.0161136480316371,Random Forest
0_Histogram mode,9,0.0141522776905177,Random Forest
0_Wavelet absolute mean_125000000.0Hz,10,0.010425866004988,Random Forest
0_MFCC_11,11,0.0104216502501743,Random Forest
0_ECDF Percentile_0,12,0.0074180096985695,Random Forest
0_Mean diff,13,0.0052889088054373,Random Forest
0_LPCC_0,14,0.0051557271585105,Random Forest
0_Wavelet absolute mean_27777777.78Hz,15,0.0048210651134522,Random Forest
0_Slope,16,0.0047180962884365,Random Forest
0_MFCC_8,17,0.0038477133286164,Random Forest
0_ECDF Percentile_1,18,0.0034029407729422,Random Forest
0_MFCC_0,19,0.0030654484678947,Random Forest
0_Fundamental frequency,20,0.0027596598170812,Random Forest
0_MFCC_9,21,0.0022568120136893,Random Forest
0_Median,22,0.002151844383145,Random Forest
0_MFCC_10,23,0.002080757755265,Random Forest
0_MFCC_5,24,0.0019511355271588,Random Forest
0_Spectral decrease,25,0.0018505883404688,Random Forest
0_Max,26,0.0016948441682415,Random Forest
0_Maximum frequency,27,0.0013954285493347,Random Forest
0_Median frequency,28,0.0013624645769739,Random Forest
0_LPCC_1,29,0.001099773993414,Random Forest
0_LPCC_6,30,0.0008332481275712,Random Forest
0_Zero crossing rate,31,0.0005354357886011,Random Forest
0_LPCC_5,32,0.0003786299333691,Random Forest
0_Spectral positive turning points,33,0.0003538293730933,Random Forest
0_MFCC_4,34,0.0003482792880322,Random Forest
0_Mean,35,0.0002445796535346,Random Forest
0_Wavelet entropy,36,0.0001271450286793,Random Forest
0_Spectral roll-on,37,9.4613483758752e-05,Random Forest
0_Power bandwidth,38,8.595407580083739e-05,Random Forest
0_Neighbourhood peaks,39,7.869634589319219e-07,Random Forest
0_Median diff,40,-4.440892098500626e-17,Random Forest
0_Median absolute diff,41,-3.3516941107913923e-06,Random Forest
0_Negative turning points,42,-3.373593704720049e-05,Random Forest
0_Peak to peak distance,1,1.8536926016695645,Bayesian Ridge
0_MFCC_4,2,1.2424623525110643,Bayesian Ridge
0_MFCC_5,3,0.8944750090425292,Bayesian Ridge
0_ECDF Percentile_0,4,0.875450214507031,Bayesian Ridge
0_Max,5,0.6974095577274747,Bayesian Ridge
0_Mean,6,0.5578042344936335,Bayesian Ridge
0_MFCC_11,7,0.3987982327714717,Bayesian Ridge
0_Slope,8,0.2754900998804506,Bayesian Ridge
0_MFCC_9,9,0.2333423317137923,Bayesian Ridge
0_MFCC_0,10,0.1983384137323919,Bayesian Ridge
0_Spectral decrease,11,0.087394786212839,Bayesian Ridge
0_Median,12,0.067339190984512,Bayesian Ridge
