feature,rank_shap,shap_importance,model
0_Peak to peak distance,1,11.136740713069198,SVR
0_Spectral variation,2,9.78881920327225,SVR
0_Spectral decrease,3,9.050995701584853,SVR
0_ECDF Percentile_0,4,8.090522992760949,SVR
0_Spectral entropy,5,8.084898437126613,SVR
0_Mean diff,6,7.944410041595182,SVR
0_LPCC_0,7,7.667690227331158,SVR
0_Interquartile range,8,7.117197819393153,SVR
0_Absolute energy,9,6.318510359696678,SVR
0_Wavelet absolute mean_27777777.78Hz,10,6.283557184202247,SVR
0_Median,11,6.00208054810941,SVR
0_Max,12,4.357105826605868,SVR
0_Wavelet absolute mean_125000000.0Hz,13,4.1766644732745,SVR
0_Slope,14,4.077738339799866,SVR
0_MFCC_11,15,2.949022818364192,SVR
0_Autocorrelation,16,1.090312400850989,SVR
0_MFCC_9,17,0.9289180001756911,SVR
0_MFCC_5,18,0.8775332180212518,SVR
0_Wavelet energy_125000000.0Hz,19,0.7280401343046458,SVR
0_Median diff,20,0.6467693763109307,SVR
0_Mean,21,0.5901180113026215,SVR
0_MFCC_4,22,0.5645616138306373,SVR
0_Wavelet entropy,23,0.4125706759969105,SVR
0_MFCC_10,24,0.3713608466988494,SVR
0_MFCC_0,25,0.1000110276226051,SVR
0_LPCC_1,26,0.0689565087157946,SVR
0_MFCC_8,27,0.0490586314474442,SVR
0_Maximum frequency,28,0.0480145521969218,SVR
0_ECDF Percentile_1,29,0.0259076923473759,SVR
0_Entropy,30,0.0,SVR
0_Histogram mode,31,0.0,SVR
0_Fundamental frequency,32,0.0,SVR
0_LPCC_5,33,0.0,SVR
0_LPCC_6,34,0.0,SVR
0_Median absolute diff,35,0.0,SVR
0_Median frequency,36,0.0,SVR
0_Negative turning points,37,0.0,SVR
0_Neighbourhood peaks,38,0.0,SVR
0_Power bandwidth,39,0.0,SVR
0_Spectral roll-on,40,0.0,SVR
0_Spectral positive turning points,41,0.0,SVR
0_Zero crossing rate,42,0.0,SVR
0_Peak to peak distance,1,15.817780760877913,Random Forest
0_Spectral entropy,2,8.953769255039596,Random Forest
0_Absolute energy,3,6.667682883493138,Random Forest
0_Autocorrelation,4,5.539316563075533,Random Forest
0_Entropy,5,5.339106353340422,Random Forest
0_Spectral variation,6,4.802679778326381,Random Forest
0_Interquartile range,7,4.12227786175125,Random Forest
0_Wavelet energy_125000000.0Hz,8,2.92665272694602,Random Forest
0_Histogram mode,9,2.645181094728411,Random Forest
0_ECDF Percentile_0,10,2.1860302426849256,Random Forest
0_MFCC_11,11,2.1103610342521844,Random Forest
0_Wavelet absolute mean_125000000.0Hz,12,1.9628230051191284,Random Forest
0_LPCC_0,13,1.3929626845620575,Random Forest
0_Fundamental frequency,14,1.0616030162320935,Random Forest
0_Wavelet absolute mean_27777777.78Hz,15,1.059743257917898,Random Forest
0_Mean diff,16,0.9968411778546558,Random Forest
0_Slope,17,0.9859288588388044,Random Forest
0_ECDF Percentile_1,18,0.8068536246550583,Random Forest
0_Wavelet entropy,19,0.7978407832669406,Random Forest
0_MFCC_0,20,0.6768653038923006,Random Forest
0_MFCC_8,21,0.6691222630395087,Random Forest
0_Median,22,0.6260085047217705,Random Forest
0_MFCC_9,23,0.5955327344372089,Random Forest
0_Spectral decrease,24,0.580935729221891,Random Forest
0_Median frequency,25,0.5774558309806664,Random Forest
0_MFCC_10,26,0.4991130775625197,Random Forest
0_Max,27,0.4001965747200882,Random Forest
0_MFCC_5,28,0.3868222445743313,Random Forest
0_Maximum frequency,29,0.3386585874459397,Random Forest
0_LPCC_1,30,0.2850680607957144,Random Forest
0_Mean,31,0.2574054107293641,Random Forest
0_LPCC_6,32,0.2501677585450079,Random Forest
