feature,consenso_score,rank_perm,importance_mean,cum_importance_perm,rank_shap,shap_importance,cum_importance_shap
0_Peak to peak distance,6.2,1.5325,0.6634497384326807,0.2191967276605598,4.6675,16.978447986654725,5.170673740683103e-07
0_Spectral entropy,15.829999999999998,6.5225,0.11901862720573979,0.2585192145090453,9.3075,8.932016041380772,7.890859992855824e-07
0_Interquartile range,19.8825,10.0225,0.03630390464829026,0.2705136379585221,9.86,4.488069581591682,9.257671821012036e-07
0_Spectral variation,20.240000000000002,9.65,0.03779728204924969,0.2830014573964062,10.59,4.201686228732981,1.0537267498224462e-06
0_Autocorrelation,20.5,10.5875,0.05793463077025251,0.30214244238354654,9.9125,6.137614752282849,1.240643736905145e-06
0_Absolute energy,20.5,12.11,0.03213690834232741,0.31276013463316116,8.39,22.538663106528116,1.9270437751573453e-06
0_MFCC_11,24.6075,12.475,0.13090835099011724,0.35601085959125883,12.1325,366.9130019163888,1.3101135927841112e-05
0_ECDF Percentile_0,26.8975,12.7675,0.33851599565718643,0.4678529392702768,14.13,3.8218173031602105,1.3217526839346518e-05
0_Mean diff,31.37,13.5125,0.024456308584399986,0.4759330431603189,17.8575,2.5223463438540143,1.3294343224538646e-05
0_LPCC_0,31.985,15.04,0.02780602339106476,0.4851198571471223,16.945,2.439486467556532,1.3368636167147186e-05
0_Max,32.207499999999996,14.39,0.1637773770475019,0.5392301582506395,17.8175,1.941045480216296,1.3427749420030577e-05
0_MFCC_9,32.255,15.9,0.11216402089716997,0.5762879561781685,16.355,287.2158167702377,2.217471665078114e-05
0_Slope,33.1175,12.28,0.09600240320333985,0.6080061277452178,20.8375,1.3066830558198188,2.2214510816710993e-05
0_MFCC_5,35.9,18.0825,0.22806068447708622,0.68335494898901,17.8175,274.2182142155814,3.056564468110191e-05
0_Entropy,36.035,17.8625,0.011913913088556318,0.6872911789871002,18.1725,1.8217280140101326,3.062112419967812e-05
0_Wavelet absolute mean_27777777.78Hz,37.870000000000005,18.565,0.0290839152703035,0.6969001948409129,19.305,2.1653448773613673,3.0687068341955995e-05
0_Spectral decrease,38.1725,18.8725,0.04601946449004538,0.7121045357887884,19.3,3.760362801353553,3.080158769736282e-05
0_Wavelet energy_125000000.0Hz,38.2575,17.98,0.01116189045449682,0.7157923055178281,20.2775,1.1112445520877974,3.083542991326779e-05
0_Wavelet absolute mean_125000000.0Hz,39.5,19.275,0.009978869377867938,0.7190892176826413,20.225,1.535410515774855,3.088218982230851e-05
0_MFCC_0,39.82,20.4175,0.04546518011889592,0.7341104289775662,19.4025,57.164253201073834,3.262308924471085e-05
0_Median,40.4,18.965,0.06520541931355271,0.7556536050635655,21.435,2.1984292793836606,3.269004095051218e-05
0_MFCC_8,41.22,20.095,0.01955158149261454,0.7621132393591403,21.125,92.49670224122119,3.550696667749496e-05
0_Fundamental frequency,42.545,26.7,0.0011475755521864533,0.7624923860995955,15.845,440236.5220820882,0.013442618301051085
0_Histogram mode,42.629999999999995,23.0675,0.0041413923658641,0.7638606580303379,19.5625,1.0017545958473184,0.013442648808822982
0_ECDF Percentile_1,44.2,21.24,0.02844120920081275,0.7732573306437828,22.96,1.0075226706871176,0.013442679492257774
0_MFCC_10,44.3525,24.395,0.008930738982083486,0.7762079516886985,19.9575,53.493228040025016,0.01344430859304336
0_MFCC_4,46.667500000000004,23.3625,0.49467005053815927,0.9396416680178376,23.305,351.09585789401876,0.013455000984564081
0_Mean,47.4975,21.765,0.16446753154485044,0.9939799888169483,25.7325,0.8948247274472447,0.013455028235857747
0_Wavelet entropy,48.325,23.845,0.0051048608665616646,0.9956665804791233,24.48,0.43046669530841103,0.013455041345435487
0_Maximum frequency,48.785,28.2775,0.0022167243109942354,0.9963989625827675,20.5075,30805039.76349051,0.9516020987854176
0_Median frequency,55.400000000000006,30.745,0.001261906558581015,0.9968158830700795,24.655,905682.9395207234,0.9791840720991467
0_LPCC_1,58.245,28.4625,0.0016461801747773284,0.9973597634675657,29.7825,0.17106050650570276,0.979184077308681
0_Spectral positive turning points,61.400000000000006,32.0925,0.0005490720076802469,0.9975411710111391,29.3075,1.1106289634936894,0.9791841111321495
0_Power bandwidth,62.567499999999995,32.355,0.0028202119677419374,0.9984729390092675,30.2125,358528.0898707226,0.99010284634899
0_LPCC_5,62.705,31.6725,0.000805923982072894,0.9987392077096379,31.0325,0.16435331156567634,0.9901028513542611
0_LPCC_6,63.8675,32.3425,0.0004121014884686218,0.9988753616524365,31.525,0.16828676510512897,0.990102856479323
0_Spectral roll-on,64.01,33.67,0.0009351706671469778,0.9991843320810435,30.34,324982.48551793594,0.9999999825615792
0_Zero crossing rate,64.805,31.85,0.0006505197300666996,0.999399256871648,32.955,0.3157345128448395,0.9999999921770644
0_Negative turning points,69.50999999999999,36.2725,0.00010208795938661605,0.9994329856461652,33.2375,0.13122811101831278,0.9999999961735294
0_Median absolute diff,70.41,33.5675,0.0005245582228611554,0.9996062940963129,36.8425,0.049267435658262325,0.9999999976739365
0_Median diff,72.5775,34.0275,0.0011053539186496664,0.9999714912587191,38.55,0.024948093753285897,0.9999999984337142
0_Neighbourhood peaks,72.73249999999999,36.385,8.628831802244895e-05,1.0,36.3475,0.05143063320257082,1.0
